base_query,paraphrase_query,cosine_similarity,similarity_bin,template_level
Google Cloud API docs,Google Cloud API docs,1.0,high,high
Google Cloud API docs,Google Cloud API docs official documentation,0.8656,medium,high
Google Cloud API docs,Google Cloud API docs detailed guide,0.8466,medium,high
Google Cloud API docs,Google Cloud API docs docs and tutorials,0.8623,medium,high
Google Cloud API docs,step-by-step guide for Google Cloud API docs,0.8806,medium,medium
Google Cloud API docs,Google Cloud API docs for beginners,0.8933,medium,medium
Google Cloud API docs,Google Cloud API docs reference and best practices,0.8156,medium,medium
Google Cloud API docs,how to get started with Google Cloud API docs,0.8742,medium,medium
Google Cloud API docs,Google Cloud API docs overview and usage examples,0.8423,medium,medium
Google Cloud API docs,when should developers rely on Google Cloud API docs in real projects,0.6988,low,low
Google Cloud API docs,deep dive explaining how Google Cloud API docs works end-to-end,0.7644,medium,low
Google Cloud API docs,"use cases, limitations and integration patterns for Google Cloud API docs",0.7782,medium,low
Google Cloud API docs,comparison of Google Cloud API docs with similar cloud services,0.753,medium,low
Google Cloud API docs,best resources to master Google Cloud API docs for production workloads,0.7009,medium,low
TensorFlow GitHub repository,TensorFlow GitHub repository,1.0,high,high
TensorFlow GitHub repository,TensorFlow GitHub repository official documentation,0.9028,high,high
TensorFlow GitHub repository,TensorFlow GitHub repository detailed guide,0.9087,high,high
TensorFlow GitHub repository,TensorFlow GitHub repository docs and tutorials,0.8959,medium,high
TensorFlow GitHub repository,step-by-step guide for TensorFlow GitHub repository,0.8857,medium,medium
TensorFlow GitHub repository,TensorFlow GitHub repository for beginners,0.9302,high,medium
TensorFlow GitHub repository,TensorFlow GitHub repository reference and best practices,0.8581,medium,medium
TensorFlow GitHub repository,how to get started with TensorFlow GitHub repository,0.895,medium,medium
TensorFlow GitHub repository,TensorFlow GitHub repository overview and usage examples,0.8999,medium,medium
TensorFlow GitHub repository,when should developers rely on TensorFlow GitHub repository in real projects,0.738,medium,low
TensorFlow GitHub repository,deep dive explaining how TensorFlow GitHub repository works end-to-end,0.787,medium,low
TensorFlow GitHub repository,"use cases, limitations and integration patterns for TensorFlow GitHub repository",0.8088,medium,low
TensorFlow GitHub repository,comparison of TensorFlow GitHub repository with similar cloud services,0.7804,medium,low
TensorFlow GitHub repository,best resources to master TensorFlow GitHub repository for production workloads,0.7864,medium,low
Firebase authentication example,Firebase authentication example,1.0,high,high
Firebase authentication example,Firebase authentication example official documentation,0.8853,medium,high
Firebase authentication example,Firebase authentication example detailed guide,0.9533,high,high
Firebase authentication example,Firebase authentication example docs and tutorials,0.9016,high,high
Firebase authentication example,step-by-step guide for Firebase authentication example,0.917,high,medium
Firebase authentication example,Firebase authentication example for beginners,0.9581,high,medium
Firebase authentication example,Firebase authentication example reference and best practices,0.8827,medium,medium
Firebase authentication example,how to get started with Firebase authentication example,0.9293,high,medium
Firebase authentication example,Firebase authentication example overview and usage examples,0.9458,high,medium
Firebase authentication example,when should developers rely on Firebase authentication example in real projects,0.7175,medium,low
Firebase authentication example,deep dive explaining how Firebase authentication example works end-to-end,0.82,medium,low
Firebase authentication example,"use cases, limitations and integration patterns for Firebase authentication example",0.8388,medium,low
Firebase authentication example,comparison of Firebase authentication example with similar cloud services,0.7881,medium,low
Firebase authentication example,best resources to master Firebase authentication example for production workloads,0.6745,low,low
Google BigQuery pricing,Google BigQuery pricing,1.0,high,high
Google BigQuery pricing,Google BigQuery pricing official documentation,0.8922,medium,high
Google BigQuery pricing,Google BigQuery pricing detailed guide,0.9189,high,high
Google BigQuery pricing,Google BigQuery pricing docs and tutorials,0.8343,medium,high
Google BigQuery pricing,step-by-step guide for Google BigQuery pricing,0.8578,medium,medium
Google BigQuery pricing,Google BigQuery pricing for beginners,0.9227,high,medium
Google BigQuery pricing,Google BigQuery pricing reference and best practices,0.8719,medium,medium
Google BigQuery pricing,how to get started with Google BigQuery pricing,0.8813,medium,medium
Google BigQuery pricing,Google BigQuery pricing overview and usage examples,0.8929,medium,medium
Google BigQuery pricing,when should developers rely on Google BigQuery pricing in real projects,0.7632,medium,low
Google BigQuery pricing,deep dive explaining how Google BigQuery pricing works end-to-end,0.7813,medium,low
Google BigQuery pricing,"use cases, limitations and integration patterns for Google BigQuery pricing",0.8197,medium,low
Google BigQuery pricing,comparison of Google BigQuery pricing with similar cloud services,0.8359,medium,low
Google BigQuery pricing,best resources to master Google BigQuery pricing for production workloads,0.7583,medium,low
Azure ML documentation,Azure ML documentation,1.0,high,high
Azure ML documentation,Azure ML documentation official documentation,0.9692,high,high
Azure ML documentation,Azure ML documentation detailed guide,0.9618,high,high
Azure ML documentation,Azure ML documentation docs and tutorials,0.9258,high,high
Azure ML documentation,step-by-step guide for Azure ML documentation,0.9027,high,medium
Azure ML documentation,Azure ML documentation for beginners,0.9219,high,medium
Azure ML documentation,Azure ML documentation reference and best practices,0.8955,medium,medium
Azure ML documentation,how to get started with Azure ML documentation,0.9145,high,medium
Azure ML documentation,Azure ML documentation overview and usage examples,0.9446,high,medium
Azure ML documentation,when should developers rely on Azure ML documentation in real projects,0.7259,medium,low
Azure ML documentation,deep dive explaining how Azure ML documentation works end-to-end,0.8535,medium,low
Azure ML documentation,"use cases, limitations and integration patterns for Azure ML documentation",0.8011,medium,low
Azure ML documentation,comparison of Azure ML documentation with similar cloud services,0.8475,medium,low
Azure ML documentation,best resources to master Azure ML documentation for production workloads,0.7822,medium,low
Power BI connector guide,Power BI connector guide,1.0,high,high
Power BI connector guide,Power BI connector guide official documentation,0.914,high,high
Power BI connector guide,Power BI connector guide detailed guide,0.9778,high,high
Power BI connector guide,Power BI connector guide docs and tutorials,0.9181,high,high
Power BI connector guide,step-by-step guide for Power BI connector guide,0.9145,high,medium
Power BI connector guide,Power BI connector guide for beginners,0.9506,high,medium
Power BI connector guide,Power BI connector guide reference and best practices,0.93,high,medium
Power BI connector guide,how to get started with Power BI connector guide,0.9193,high,medium
Power BI connector guide,Power BI connector guide overview and usage examples,0.9268,high,medium
Power BI connector guide,when should developers rely on Power BI connector guide in real projects,0.7079,medium,low
Power BI connector guide,deep dive explaining how Power BI connector guide works end-to-end,0.8414,medium,low
Power BI connector guide,"use cases, limitations and integration patterns for Power BI connector guide",0.8207,medium,low
Power BI connector guide,comparison of Power BI connector guide with similar cloud services,0.7529,medium,low
Power BI connector guide,best resources to master Power BI connector guide for production workloads,0.7851,medium,low
Visual Studio Code extensions list,Visual Studio Code extensions list,1.0,high,high
Visual Studio Code extensions list,Visual Studio Code extensions list official documentation,0.9207,high,high
Visual Studio Code extensions list,Visual Studio Code extensions list detailed guide,0.9414,high,high
Visual Studio Code extensions list,Visual Studio Code extensions list docs and tutorials,0.8738,medium,high
Visual Studio Code extensions list,step-by-step guide for Visual Studio Code extensions list,0.8954,medium,medium
Visual Studio Code extensions list,Visual Studio Code extensions list for beginners,0.921,high,medium
